"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","arch","aug_plus","batch_size","checkpoint_fp","checkpoint_interval","cos","custom_aug_name","data","dataid","dataset","dist_backend","dist_url","distributed","epochs","evaluate","faa_aug","gauss","gpu","id","image_log_interval","kfold","lcls_arch","lcls_batch_size","lcls_checkpoint_fp","lcls_checkpoint_interval","lcls_data","lcls_dataid","lcls_dist_backend","lcls_dist_url","lcls_distributed","lcls_epochs","lcls_evaluate","lcls_gpu","lcls_id","lcls_kfold","lcls_loss_prefix","lcls_lr","lcls_mlp","lcls_momentum","lcls_multiprocessing_distributed","lcls_name","lcls_notes","lcls_pretrained","lcls_print_freq","lcls_randomcrop","lcls_rank","lcls_resume","lcls_schedule","lcls_start_epoch","lcls_task","lcls_wandbproj","lcls_weight_decay","lcls_workers","lcls_world_size","lr","mlp","moco_dim","moco_k","moco_m","moco_t","momentum","multiprocessing_distributed","name","no_gauss","nomoco","notes","pretrained","print_freq","rand_aug","rand_aug_linear_m","rand_aug_m","rand_aug_m_max","rand_aug_m_min","rand_aug_n","rand_aug_orig","rand_aug_top_k","rand_resize_only","randomcrop","rank","resume","rotnet","rotnet_mlp","schedule","seed","single_aug_idx","start_epoch","upload_checkpoints","wandbproj","weight_decay","workers","world_size","100epoch-val-classify","100epoch-val-rotation","100epochLinCls Acc@1","100epochLinCls Acc@5","100epochLinCls Data","100epochLinCls Loss","100epochLinCls Time","100epochRot Train Loss","Acc@1","Acc@5","Data","LinCls Acc@1","LinCls Acc@5","LinCls Data","LinCls Loss","LinCls Time","Loss","MOCO Loss","Rot Loss","Rot Train Loss","Rot Val Loss","Time","epoch","example images","learning rate","meter","val-acc1","val-classify","val-mlp-rotation","val-rotation"
"7JnEs_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_rrc_pure","7JnEsPsmtwahXlWOhXryJbx2fv5Lswdk","7JnEs_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_rrc_pure","finished","rrc_only_100_epochs","cjrd","single-aug","2020-05-11T02:22:05.000Z","11100","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","250","true","rrc_pure","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","7JnEsPsmtwahXlWOhXryJbx2fv5Lswdk","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","7JnEsPsmtwahXlWOhXryJbx2fv5Lswdk","","","15","false","0.9","true","edcdFL7WnAcC8VgXh3IshqJcrHI3qz9g","faa_top1_valid_rot_as_feedback","/userdata/smetzger/all_deepul_files/ckpts/7JnEs_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_rrc_pure_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","7JnEsPsmtwahXlWOhXryJbx2fv5Lswdk","","false","minmax_fresh_til_2k","","10","false","","9","","","3","false","","true","false","0","","false","","[120,160]","","","0","false","autoself","0.0001","8","4","","","","","","","","","5.6146979331970215","16.4320068359375","0.25440204798520266","46.643898010253906","100","0.14127345734241745","0","0.21231034912988153","8.376807904505467","","0","6.984252345499568","","0.4178065074669136","","","","","","50.55999755859375","","53.07749938964844"
"mhrIn_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","mhrIn1PYVdqGS4V09cCFzIjZpBycwwdM","mhrIn_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_cutout","cjrd","single-aug","2020-05-09T07:58:06.000Z","167113","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","mhrIn1PYVdqGS4V09cCFzIjZpBycwwdM","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","mhrIn1PYVdqGS4V09cCFzIjZpBycwwdM","","","15","false","0.9","true","uwjeOFtDpP66htd51rUldsdDNltRynD6","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/mhrIn_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","mhrIn1PYVdqGS4V09cCFzIjZpBycwwdM","","false","single_aug_14","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","14","0","false","autoself","0.0001","8","4","","","","","","","","","57.52919006347656","90.43612670898438","0.2601870337685386","39.941917419433594","100","0.14162243223939266","0","0.2118569830949394","7.373002461024693","","0","2.306580468622178","","0.4460085040920383","","","","","","31.75","","42.54249954223633"
"q7qh8_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","q7qh8TSViO3bkzUexBTwF6PBqbmQ24kC","q7qh8_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_sharpness","cjrd","single-aug","2020-05-09T06:54:29.000Z","167637","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","q7qh8TSViO3bkzUexBTwF6PBqbmQ24kC","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","q7qh8TSViO3bkzUexBTwF6PBqbmQ24kC","","","15","false","0.9","true","5OSoPRJ6lYsJm6fhHlM7hLjHixhOV3Hj","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/q7qh8_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","q7qh8TSViO3bkzUexBTwF6PBqbmQ24kC","","false","single_aug_13","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","13","0","false","autoself","0.0001","8","4","","","","","","","","","29.661745071411133","61.796016693115234","0.2631929182744288","39.48380279541016","100","0.13448014933401378","0","0.20510675270519957","7.803412437438965","","0","2.452971523344829","","0.4568335250183776","","","","","","31.09000015258789","","43.182498931884766"
"JNeXF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","JNeXFwHDR2CZYPS7Bi80YHH8MV8FQ9Io","JNeXF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_brightness","cjrd","single-aug","2020-05-09T06:54:19.000Z","168760","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","JNeXFwHDR2CZYPS7Bi80YHH8MV8FQ9Io","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","JNeXFwHDR2CZYPS7Bi80YHH8MV8FQ9Io","","","15","false","0.9","true","Fk55IGuFCGuKXw4Q4kSaJFw0Dut4JUGH","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/JNeXF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","JNeXFwHDR2CZYPS7Bi80YHH8MV8FQ9Io","","false","single_aug_12","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","12","0","false","autoself","0.0001","8","4","","","","","","","","","11.727335929870604","32.52919006347656","0.26742302978431787","36.45697021484375","100","0.1380936887251769","0","0.20945973421266567","8.074743910150213","","0","3.8599778089223737","","0.4523686288477301","","","","","","32.70000076293945","","40.88999938964844"
"dFLZF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","dFLZFkcDvJ8EzFU9tUlRiWJ6s16xrAbE","dFLZF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_color","cjrd","single-aug","2020-05-09T06:51:05.000Z","171134","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","dFLZFkcDvJ8EzFU9tUlRiWJ6s16xrAbE","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","dFLZFkcDvJ8EzFU9tUlRiWJ6s16xrAbE","","","15","false","0.9","true","qXFY2HWkwTDpCVoDkZz2VVBIQ2K3QZ1i","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/dFLZF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","dFLZFkcDvJ8EzFU9tUlRiWJ6s16xrAbE","","false","single_aug_11","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","11","0","false","autoself","0.0001","8","4","","","","","","","","","39.251373291015625","74.57074737548828","0.25573579033652505","42.58221435546875","100","0.14260506505117365","0","0.21372614730715128","7.767519348270291","","0","2.503520481873557","","0.4409075176322853","","","","","","36.30999755859375","","46.58250045776367"
"v135F_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","v135FpKUr6SBi04AXDQ7yQ04YOLoL8UV","v135F_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_contrast","cjrd","single-aug","2020-05-09T06:49:36.000Z","171468","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","v135FpKUr6SBi04AXDQ7yQ04YOLoL8UV","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","v135FpKUr6SBi04AXDQ7yQ04YOLoL8UV","","","15","false","0.9","true","9u5RPPIkTk8wbFD6MgrUEiV9TBUf17AA","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/v135F_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","v135FpKUr6SBi04AXDQ7yQ04YOLoL8UV","","false","single_aug_10","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","10","0","false","autoself","0.0001","8","4","","","","","","","","","42.942996978759766","78.27953338623047","0.26405918729174266","46.5682258605957","100","0.14190217337683234","0","0.21227172282353743","7.6906630390293","","0","2.1748220290189013","","0.4490025567484426","","","","","","46.84000015258789","","52.154998779296875"
"9lBP8_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","9lBP8ZiwKuEhtYxzYtJGhnmNxlpdLcgP","9lBP8_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_posterize","cjrd","single-aug","2020-05-09T06:48:35.000Z","168106","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","9lBP8ZiwKuEhtYxzYtJGhnmNxlpdLcgP","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","9lBP8ZiwKuEhtYxzYtJGhnmNxlpdLcgP","","","15","false","0.9","true","FzQOf1HPXpWA3rTSUMLAgYzf2RWVeDgl","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/9lBP8_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","9lBP8ZiwKuEhtYxzYtJGhnmNxlpdLcgP","","false","single_aug_9","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","9","0","false","autoself","0.0001","8","4","","","","","","","","","47.83654022216797","81.5676498413086","0.2575578375177069","39.28746795654297","100","0.14244992945206728","0","0.213224266212024","7.567040757818536","","0","2.610063581566536","","0.44233034469269134","","","","","","32.36000061035156","","43.682498931884766"
"q4UR5_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","q4UR5LSC6tbUQnuTOHRcVPCPenK2HIGj","q4UR5_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_solarize","cjrd","single-aug","2020-05-09T06:47:04.000Z","168250","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","q4UR5LSC6tbUQnuTOHRcVPCPenK2HIGj","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","q4UR5LSC6tbUQnuTOHRcVPCPenK2HIGj","","","15","false","0.9","true","gDvxSDyDsQswJs7pOk7BAoiOb6BkZARa","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/q4UR5_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","q4UR5LSC6tbUQnuTOHRcVPCPenK2HIGj","","false","single_aug_8","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","8","0","false","autoself","0.0001","8","4","","","","","","","","","18.26923179626465","46.17960357666016","0.2554404499766591","39.51448059082031","100","0.14781443361212446","0","0.21855957720292177","8.049704750815591","","0","2.786560065459206","","0.44199153093191296","","","","","","30.42999839782715","","44.23749923706055"
"XOG4l_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","XOG4lEMlEX1CY0L5shmAah32spSSBfhd","XOG4l_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_equalize","cjrd","single-aug","2020-05-09T06:44:41.000Z","171662","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","XOG4lEMlEX1CY0L5shmAah32spSSBfhd","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","XOG4lEMlEX1CY0L5shmAah32spSSBfhd","","","15","false","0.9","true","MMLM236H5r7QQYdMT7ncBlTJMdpxuo5b","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/XOG4l_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","XOG4lEMlEX1CY0L5shmAah32spSSBfhd","","false","single_aug_7","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","7","0","false","autoself","0.0001","8","4","","","","","","","","","54.55872344970703","88.85646057128906","0.26768878266051577","36.827144622802734","100","0.1383591359822538","0","0.2096608097016499","7.430464896526965","","0","8.721946451676454","","0.4525996328710199","","","","","","24.149999618530273","","40.66999816894531"
"xd4i7_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","xd4i77ezKFr7tDbTA7MV0F7ocvJPho3e","xd4i7_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","sinlg_aug_translate_x","cjrd","single-aug","2020-05-09T05:30:58.000Z","175982","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","xd4i77ezKFr7tDbTA7MV0F7ocvJPho3e","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","xd4i77ezKFr7tDbTA7MV0F7ocvJPho3e","","","15","false","0.9","true","TBQ4gg1H0pSLVZO0gIOnqsHkOHAlRpCV","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/xd4i7_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","xd4i77ezKFr7tDbTA7MV0F7ocvJPho3e","","false","single_aug_2","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","2","0","false","autoself","0.0001","8","4","","","","","","","","","24.09855842590332","53.185096740722656","0.2806067623934903","43.195762634277344","100","0.13339688515787973","0","0.20449854441338183","7.8227422158796704","","0","4.1270763493333185","","0.4740903272733584","","","","","","37.98999786376953","","47.49749755859375"
"RP2xq_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","RP2xqtpbxHoy1pG8qh8WsE1htqedIiXR","RP2xq_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_autocontrast","cjrd","single-aug","2020-05-09T05:30:50.000Z","172736","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","RP2xqtpbxHoy1pG8qh8WsE1htqedIiXR","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","RP2xqtpbxHoy1pG8qh8WsE1htqedIiXR","","","15","false","0.9","true","TTsnog4AmtKr3EZeFcnw9fVirv20T5c5","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/RP2xq_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","RP2xqtpbxHoy1pG8qh8WsE1htqedIiXR","","false","single_aug_5","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","5","0","false","autoself","0.0001","8","4","","","","","","","","","36.667240142822266","72.78502655029297","0.3165771987412002","38.46940612792969","100","0.13318492854452882","0","0.20455631910194275","7.7318993138742975","","0","2.6834082509834727","","0.502139945606609","","","","","","28.559999465942383","","41.404998779296875"
"FsuDb_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","FsuDbYJFF3oD4h7W7HAIDNYQL8eUFh7r","FsuDb_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_rotate","cjrd","single-aug","2020-05-09T05:30:50.000Z","176065","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","FsuDbYJFF3oD4h7W7HAIDNYQL8eUFh7r","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","FsuDbYJFF3oD4h7W7HAIDNYQL8eUFh7r","","","15","false","0.9","true","jZBv2U9GAuj7z3XG6DADOVQToQgpnJhz","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/FsuDb_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","FsuDbYJFF3oD4h7W7HAIDNYQL8eUFh7r","","false","single_aug_4","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","4","0","false","autoself","0.0001","8","4","","","","","","","","","18.157623291015625","46.033653259277344","0.26511174243885083","39.293601989746094","100","0.13878768651273238","0","0.20955745836827144","7.925495535462767","","0","2.367391972017538","","0.44938797217149","","","","","","31.31999969482422","","43.897499084472656"
"4NPyF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","4NPyFOqQ1QFZEwBbgokUYlCW5SPzaxNY","4NPyF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_invert","cjrd","single-aug","2020-05-09T05:30:50.000Z","177081","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","4NPyFOqQ1QFZEwBbgokUYlCW5SPzaxNY","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","4NPyFOqQ1QFZEwBbgokUYlCW5SPzaxNY","","","15","false","0.9","true","VxyUspgmER2U0a75UQ8aPLIftbxxzoXe","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/4NPyF_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","4NPyFOqQ1QFZEwBbgokUYlCW5SPzaxNY","","false","single_aug_6","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","6","0","false","autoself","0.0001","8","4","","","","","","","","","58.276100158691406","91.78399658203124","0.27544568659185054","38.444862365722656","100","0.13811376082335466","0","0.20875958123132196","7.441492578485509","","0","2.7587212767276466","","0.46112627773494513","","","","","","29.399999618530273","","42.459999084472656"
"i29at_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","i29atShIOUtnAnfovIhiKzRPVuHrPr4P","i29at_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_translate_y","cjrd","single-aug","2020-05-09T05:30:49.000Z","172773","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","i29atShIOUtnAnfovIhiKzRPVuHrPr4P","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","i29atShIOUtnAnfovIhiKzRPVuHrPr4P","","","15","false","0.9","true","7dqg6Bao3pkDhen427rf5pzcK75p0dE5","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/i29at_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","i29atShIOUtnAnfovIhiKzRPVuHrPr4P","","false","single_aug_3","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","3","0","false","autoself","0.0001","8","4","","","","","","","","","12.5","32.21154022216797","0.2735835169697856","42.53313064575195","100","0.13906322099775545","0","0.2095826895449174","8.145776696257538","","0","2.3758868309839856","","0.45931462141183704","","","","","","38.029998779296875","","47.334999084472656"
"Edg7r_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","Edg7rRkyTjSSBl6kEyd9BW6mz9bECLk2","Edg7r_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_shear_x","cjrd","single-aug","2020-05-09T05:25:05.000Z","176434","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","Edg7rRkyTjSSBl6kEyd9BW6mz9bECLk2","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","Edg7rRkyTjSSBl6kEyd9BW6mz9bECLk2","","","15","false","0.9","true","yswftXJuZgHX5F8XNWK2a14xU1mIpEru","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/Edg7r_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","Edg7rRkyTjSSBl6kEyd9BW6mz9bECLk2","","false","single_aug_0","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","0","0","false","autoself","0.0001","8","4","","","","","","","","","33.250343322753906","67.07589721679688","0.27083752705500674","40.93381881713867","100","0.1427465533710899","0","0.21357859491677808","7.804406690073537","","0","1.9875114076424645","","0.45718149562458416","","","","","","33.21999740600586","","44.70499801635742"
"8bpqD_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","8bpqDNe9KIlg8KZ6L00t1XatuUIWwgpV","8bpqD_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study","finished","single_aug_shear_y","cjrd","single-aug","2020-05-09T05:25:05.000Z","173128","","resnet50","false","128","/userdata/smetzger/all_deepul_files/ckpts","100","true","single_aug_study","/userdata/smetzger/data/cifar_10/","cifar10","","nccl","tcp://localhost:10001","true","100","","false","false","0","8bpqDNe9KIlg8KZ6L00t1XatuUIWwgpV","10","","resnet50","64","/userdata/smetzger/all_deepul_files/ckpts","50","/userdata/smetzger/data/cifar_10/","cifar10","nccl","tcp://localhost:10001","true","50","false","0","8bpqDNe9KIlg8KZ6L00t1XatuUIWwgpV","","","15","false","0.9","true","j8GObfiqUtmLArpXIZuD5MaSEzB53PpE","training_single_aug","/userdata/smetzger/all_deepul_files/ckpts/8bpqD_100epochs_512bsz_0.4000lr_mlp_cos_custom_aug_single_aug_study_0099.tar","10","false","0","","[10,20]","0","classify","autoself","0","8","4","0.4","true","128","65536","0.999","0.2","0.9","true","8bpqDNe9KIlg8KZ6L00t1XatuUIWwgpV","","false","single_aug_1","","10","false","","9","","","3","false","","false","false","0","","false","","[120,160]","","1","0","false","autoself","0.0001","8","4","","","","","","","","","25.0257568359375","54.46428680419922","0.2553791921217363","41.11583709716797","100","0.1366300969847834","0","0.207048736941752","7.827609161754231","","0","2.774536230177155","","0.4408154749608302","","","","","","34","","44.29999923706055"